Group Name,A/c name,wing,unit,Debit,Credit,Penalty(Debit) 
Administrative Expenses,AGM & Meeting expenses,,,,,
Administrative Expenses,Accounting charges,,,,,
Administrative Expenses,Audit fees,,,,,
Administrative Expenses,Bank charges,,,,,
Administrative Expenses,Cable TV expenses,,,,,
Administrative Expenses,Computer & sofware expenses,,,,,
Administrative Expenses,Cultural / Festival expenses,,,,,
Administrative Expenses,Depreciation,,,,,
Administrative Expenses,Insurance charges,,,,,
Administrative Expenses,Interest expenses,,,,,
Administrative Expenses,Legal & Professional Charges,,,,,
Administrative Expenses,Miscellaneous expenses,,,,,
Administrative Expenses,Postage & Courier charges,,,,,
Administrative Expenses,Printing & Stationery charges,,,,,
Administrative Expenses,Reversals & Adjustments,,,,,
Administrative Expenses,Salaries,,,,,
Administrative Expenses,Staff welfare expenses,,,,,
Administrative Expenses,Subscription charges,,,,,
Administrative Expenses,Sundry Balances Written Off,,,,,
Administrative Expenses,Telephone & Internet expenses,,,,,
Administrative Expenses,Travel & conveyance expenses,,,,,
Capital Account,Application Money,,,,,
Capital Account,Share Capital,,,,,
Contribution from Members,Cultural Fund contribution,,,,,
Contribution from Members,Education & Training Fund Contribution,,,,,
Contribution from Members,Electricity Charges,,,,,
Contribution from Members,Insurance Charges,,,,,
Contribution from Members,Interest from members,,,,,
Contribution from Members,Lease Rent,,,,,
Contribution from Members,Maintenance charges,,,,,
Contribution from Members,Municipal Taxes,,,,,
Contribution from Members,Non Occupancy Charges,,,,,
Contribution from Members,Other service charges,,,,,
Contribution from Members,Parking Charges,,,,,
Contribution from Members,Repair Fund,,,,,
Contribution from Members,Service charges,,,,,
Contribution from Members,Sinking Fund,,,,,
Contribution from Members,Water Charges,,,,,
Contribution from Members,Welfare Fund,,,,,
Current Assets,Accrued Interest,,,,,
Current Assets,Advance given to Vendors,,,,,
Current Assets,Cash-in-hand,,,,,
Current Assets,Stock / Inventories,,,,,
Current Assets,Sundry Debtors,,,,,
Current Liabilities,Advance from Members,,,,,
Current Liabilities,Advances & Security Deposits taken,,,,,
Current Liabilities,Provisions,,,,,
Current Liabilities,Retention A/c,,,,,
Current Liabilities,Service Tax payable,,,,,
Current Liabilities,Tax deducted at source (TDS payable),,,,,
Fixed Assets,Accumulated Depreciation,,,,,
Fixed Assets,Building,,,,,
Fixed Assets,Club Center Equipments,,,,,
Fixed Assets,Computers,,,,,
Fixed Assets,Furniture & Fixtures,,,,,
Fixed Assets,Gym Equipments,,,,,
Fixed Assets,Income & Expenditure A/c,,,,,
Fixed Assets,Land,,,,,
Fixed Assets,Office Equipments,,,,,
Fixed Assets,Plant & Machinery,,,,,
Fixed Assets,Power Back up & Generator,,,,,
Fixed Assets,Surveillance & Security Systems,,,,,
Fixed Assets,Vehicles,,,,,
Investments,Deposits with Electricity Cos,,,,,
Investments,Deposits with Water Supply Cos,,,,,
Investments,Fixed Deposits,,,,,
Investments,Mutual Funds,,,,,
Investments,Shares of Federation,,,,,
Other Income,Advertising Income,,,,,
Other Income,Income from Advertising & events,,,,,
Other Income,Interest from  Fixed deposits,,,,,
Other Income,Interest from saving bank accounts,,,,,
Other Income,Miscellaneous income,,,,,
Other Income,Mobile tower rent,,,,,
Repairs & Maintenance,Building R&M,,,,,
Repairs & Maintenance,Club / Recreation Center expenses,,,,,
Repairs & Maintenance,Electrical R&M,,,,,
Repairs & Maintenance,Fire & Safety expenses,,,,,
Repairs & Maintenance,Garden / Lawn expenses,,,,,
Repairs & Maintenance,General Repairs & Maintenance,,,,,
Repairs & Maintenance,Gymnasium R&M,,,,,
Repairs & Maintenance,House keeping charges,,,,,
Repairs & Maintenance,Lifts & Elevators - R&M,,,,,
Repairs & Maintenance,Pest control,,,,,
Repairs & Maintenance,Plumbing - R&M,,,,,
Repairs & Maintenance,Power back & generator - R&M,,,,,
Repairs & Maintenance,Security charges,,,,,
Repairs & Maintenance,Swimming pool - R&M,,,,,
Reserve & Surplus,Entrance Fees (Reserves),,,,,
Reserve & Surplus,Major Repairs Fund (Reserves),,,,,
Reserve & Surplus,Membership premium (Reserves),,,,,
Reserve & Surplus,Reserve Fund Seed Money,,,,,
Reserve & Surplus,Sinking Fund (Reserves),,,,,
Reserve & Surplus,Transfer Charges (Reserves),,,,,
Taxes & Utilities,Electricity Expenses,,,,,
Taxes & Utilities,Property Tax,,,,,
Taxes & Utilities,Water charges,,,,,
Members Control A/c,Nagendra,Wing A,101,1000,,1000
Members Control A/c,Dilip,Wing A,102,1000,,1000
Members Control A/c,Hitesh,Wing A,103,1000,,1000
Members Control A/c,Dharam,Wing A,104,,6000,
Members Control A/c,Bharat,Wing A,105,,,
Sundry Debtors Control A/c,Ramesh,,,,,
Sundry Debtors Control A/c,Suresh,,,,,
Bank Accounts,SBBJ,,,,,
Bank Accounts,ICICI,,,,,
Sundry Creditors Control A/c,Raju,,,,,
Sundry Creditors Control A/c,Vicky,,,,,
